[ID]	[KEY/ABSTRACT]	[KEYWORDS]	[DISCOURSE (T/I/B/C)]	[NUM_PARAGRAPHS]	[PARAGRAPH]	[PREVIOUS_PARAGRAPH]
plot-0_0	K	animal farm[SEP]revolutionary song called	I	1	<o> Old Major, the old boar on the Manor Farm, summons the animals on the farm together for a meeting, during which he refers to humans as "enemies" and teaches the animals a revolutionary song called "Beasts of England".	NA
plot-0_0	K	animal farm[SEP]assume command[SEP]two young pigs	I	1	<o> When Major dies, two young pigs, Snowball and Napoleon, assume command and consider it a duty to prepare for the Rebellion.	NA
plot-0_0	K	animal farm[SEP]irresponsible farmer mr jones[SEP]animal farm ".	I	1	<o> The animals revolt and drive the drunken and irresponsible farmer mr Jones from the farm, renaming it "Animal Farm".	NA
plot-0_0	K	animal farm[SEP]seven commandments	I	1	<o> They adopt the Seven Commandments of Animalism, the most important of which is, "All animals are equal".	NA
plot-0_0	K	animal farm[SEP]napoleon educates young puppies	I	1	<o> Snowball teaches the animals to read and write, while Napoleon educates young puppies on the principles of Animalism.	NA
plot-0_0	K	animal farm[SEP]set aside special food items	I	1	<o> The pigs elevate themselves to positions of leadership and set aside special food items, ostensibly for their personal health.	NA
plot-0_0	K	animal farm[SEP]similar animal revolts	I	1	<o> Jones and his men are making an attempt to recapture the farm, aided by several other farmers who are terrified of similar animal revolts.	NA
plot-0_0	K	animal farm[SEP]counterstrikes	I	1	<o> Snowball, who has been studying the battles of Julius Caesar in anticipation of such a fight, orders the animals to retreat, then counterstrikes, forcing the men to flee.	NA
plot-0_0	K	animal farm[SEP]celebrated annually	I	1	<o> It is celebrated annually with the firing of a gun, on the anniversary of the Revolution.	NA
plot-0_0	K	animal farm[SEP]dogs chase snowball away	I	1	<o> When Snowball announces his plans to modernize the farm by building a windmill, Napoleon has his dogs chase Snowball away and declares himself leader.	NA
plot-0_0	K	animal farm[SEP]napoleon enacts changes	I	1	<o> Napoleon enacts changes to the governance structure of the farm, replacing meetings with a committee of pigs who will run the farm.	NA
plot-0_0	K	animal farm[SEP]windmill collapsed	I	1	<o> When the animals find the windmill collapsed after a violent storm, Napoleon and Squealer convince the animals that Snowball is trying to sabotage their project.	NA
plot-0_0	K	animal farm[SEP]snowball becomes	I	1	<o> Once Snowball becomes a scapegoat, Napoleon begins to purge the farm with his dogs, killing animals he accuses of consorting with his old rival.	NA
plot-0_0	K	animal farm[SEP]frequently smears snowball	I	1	<o> When some animals recall the Battle of the Cowshed, Napoleon (who was nowhere to be found during the battle) frequently smears Snowball as a collaborator of Jones', while falsely representing himself as the hero of the battle.	NA
plot-0_0	K	animal farm[SEP]anthem glorifying napoleon	I	1	<o> "Beasts of England" is replaced with an anthem glorifying Napoleon, who appears to be adopting the lifestyle of a man.	NA
plot-0_0	K	animal farm[SEP]animals remain convinced	I	1	<o> The animals remain convinced that they are better off than they were under mr Jones.	NA
plot-0_0	K	animal farm[SEP]using blasting powder	I	1	<o> Mr Frederick, one of the neighbouring farmers, attacks the farm, using blasting powder to blow up the restored windmill.	NA
plot-0_0	K	animal farm[SEP]including boxer	I	1	<o> Though the animals win the battle, they do so at great cost, as many, including Boxer the workhorse, are wounded.	NA
plot-0_0	K	animal farm[SEP]boxer continues working harder	I	1	<o> Despite his injuries, Boxer continues working harder and harder, until he collapses while working on the windmill.	NA
plot-0_0	K	animal farm[SEP]veterinary surgeon	I	1	<o> Napoleon sends for a van to take Boxer to the veterinary surgeon, explaining that better care can be given there.	NA
plot-0_0	K	animal farm[SEP]cynical donkey[SEP]pig ", notices	I	1	<o> Benjamin, the cynical donkey who "could read as well as any pig", notices that the van belongs to a knacker and attempts a futile rescue.	NA
plot-0_0	K	animal farm[SEP]squealer quickly assures	I	1	<o> Squealer quickly assures the animals that the van had been purchased from the knacker by an animal hospital, and the previous owner's signboard had not been repainted.	NA
